season,week,contestant,total_score,avg_score,n_judges,status,placement,voting_method,is_finalist,estimated_vote_prop,vote_certainty
1,1,John O'Hurley,20.0,6.666666666666667,3,active,2,rank,True,0.1834862385321101,0.3
1,1,Kelly Monaco,13.0,4.333333333333333,3,active,1,rank,True,0.11926605504587157,0.3
1,1,Evander Holyfield,18.0,6.0,3,active,5,rank,False,0.1651376146788991,0.3
1,1,Rachel Hunter,20.0,6.666666666666667,3,active,4,rank,False,0.1834862385321101,0.3
1,1,Joey McIntyre,20.0,6.666666666666667,3,active,3,rank,True,0.1834862385321101,0.3
1,1,Trista Sutter,18.0,6.0,3,active,6,rank,False,0.1651376146788991,0.3
1,2,John O'Hurley,26.0,8.666666666666666,3,active,2,rank,True,0.2857142857142857,0.7
1,2,Kelly Monaco,17.0,5.666666666666667,3,active,1,rank,True,0.09523809523809523,0.7
1,2,Evander Holyfield,14.0,4.666666666666667,3,active,5,rank,False,0.047619047619047616,0.7
1,2,Rachel Hunter,24.0,8.0,3,active,4,rank,False,0.23809523809523808,0.7
1,2,Joey McIntyre,21.0,7.0,3,active,3,rank,True,0.19047619047619047,0.7
1,2,Trista Sutter,19.0,6.333333333333333,3,eliminated_this_week,6,rank,False,0.14285714285714285,0.7
1,3,John O'Hurley,24.0,8.0,3,active,2,rank,True,0.2,0.7
1,3,Kelly Monaco,21.0,7.0,3,active,1,rank,True,0.06666666666666667,0.7
1,3,Evander Holyfield,13.0,4.333333333333333,3,eliminated_this_week,5,rank,False,0.3333333333333333,0.7
1,3,Rachel Hunter,26.0,8.666666666666666,3,active,4,rank,False,0.26666666666666666,0.7
1,3,Joey McIntyre,22.0,7.333333333333333,3,active,3,rank,True,0.13333333333333333,0.7
1,4,John O'Hurley,21.0,7.0,3,active,2,rank,True,0.3,0.7
1,4,Kelly Monaco,26.0,8.666666666666666,3,active,1,rank,True,0.4,0.7
1,4,Rachel Hunter,25.0,8.333333333333334,3,eliminated_this_week,4,rank,False,0.1,0.7
1,4,Joey McIntyre,20.0,6.666666666666667,3,active,3,rank,True,0.2,0.7
1,5,John O'Hurley,27.0,9.0,3,active,2,rank,True,0.3698630136986301,0.3
1,5,Kelly Monaco,23.5,7.833333333333333,3,active,1,rank,True,0.3219178082191781,0.3
1,5,Joey McIntyre,22.5,7.5,3,active,3,rank,True,0.3082191780821918,0.3
1,6,John O'Hurley,27.0,9.0,3,active,2,rank,True,0.4954128440366973,0.3
1,6,Kelly Monaco,27.5,9.166666666666666,3,active,1,rank,True,0.5045871559633027,0.3
2,1,Tatum O'Neal,23.0,7.666666666666667,3,active,9,rank,False,0.16363636363636364,0.7
2,1,Tia Carrere,20.0,6.666666666666667,3,active,6,rank,False,0.07272727272727272,0.7
2,1,George Hamilton,18.0,6.0,3,active,5,rank,False,0.03636363636363636,0.7
2,1,Lisa Rinna,19.0,6.333333333333333,3,active,4,rank,False,0.05454545454545454,0.7
2,1,Stacy Keibler,22.0,7.333333333333333,3,active,3,rank,True,0.10909090909090909,0.7
2,1,Jerry Rice,21.0,7.0,3,active,2,rank,True,0.09090909090909091,0.7
2,1,Giselle Fernandez,23.0,7.666666666666667,3,active,8,rank,False,0.12727272727272726,0.7
2,1,Master P,12.0,4.0,3,active,7,rank,False,0.01818181818181818,0.7
2,1,Drew Lachey,24.0,8.0,3,active,1,rank,True,0.18181818181818182,0.7
2,1,Kenny Mayne,13.0,4.333333333333333,3,eliminated_this_week,10,rank,False,0.14545454545454545,0.7
2,2,Tatum O'Neal,17.0,5.666666666666667,3,eliminated_this_week,9,rank,False,0.15555555555555556,0.7
2,2,Tia Carrere,22.0,7.333333333333333,3,active,6,rank,False,0.08888888888888889,0.7
2,2,George Hamilton,22.0,7.333333333333333,3,active,5,rank,False,0.06666666666666667,0.7
2,2,Lisa Rinna,20.0,6.666666666666667,3,active,4,rank,False,0.044444444444444446,0.7
2,2,Stacy Keibler,29.0,9.666666666666666,3,active,3,rank,True,0.2,0.7
2,2,Jerry Rice,23.0,7.666666666666667,3,active,2,rank,True,0.1111111111111111,0.7
2,2,Giselle Fernandez,24.0,8.0,3,active,8,rank,False,0.13333333333333333,0.7
2,2,Master P,16.0,5.333333333333333,3,active,7,rank,False,0.022222222222222223,0.7
2,2,Drew Lachey,27.0,9.0,3,active,1,rank,True,0.17777777777777778,0.7
2,3,Tia Carrere,26.0,8.666666666666666,3,active,6,rank,False,0.16666666666666666,0.7
2,3,George Hamilton,22.0,7.333333333333333,3,active,5,rank,False,0.08333333333333333,0.7
2,3,Lisa Rinna,25.0,8.333333333333334,3,active,4,rank,False,0.1388888888888889,0.7
2,3,Stacy Keibler,27.0,9.0,3,active,3,rank,True,0.2222222222222222,0.7
2,3,Jerry Rice,19.0,6.333333333333333,3,active,2,rank,True,0.05555555555555555,0.7
2,3,Giselle Fernandez,22.0,7.333333333333333,3,eliminated_this_week,8,rank,False,0.1111111111111111,0.7
2,3,Master P,14.0,4.666666666666667,3,active,7,rank,False,0.027777777777777776,0.7
2,3,Drew Lachey,27.0,9.0,3,active,1,rank,True,0.19444444444444445,0.7
2,4,Tia Carrere,25.0,8.333333333333334,3,active,6,rank,False,0.10714285714285714,0.7
2,4,George Hamilton,21.0,7.0,3,active,5,rank,False,0.03571428571428571,0.7
2,4,Lisa Rinna,26.0,8.666666666666666,3,active,4,rank,False,0.17857142857142858,0.7
2,4,Stacy Keibler,26.0,8.666666666666666,3,active,3,rank,True,0.14285714285714285,0.7
2,4,Jerry Rice,24.0,8.0,3,active,2,rank,True,0.07142857142857142,0.7
2,4,Master P,8.0,2.6666666666666665,3,eliminated_this_week,7,rank,False,0.25,0.7
2,4,Drew Lachey,28.0,9.333333333333334,3,active,1,rank,True,0.21428571428571427,0.7
2,5,Tia Carrere,22.0,7.333333333333333,3,eliminated_this_week,6,rank,False,0.2857142857142857,0.7
2,5,George Hamilton,24.0,8.0,3,active,5,rank,False,0.09523809523809523,0.7
2,5,Lisa Rinna,25.0,8.333333333333334,3,active,4,rank,False,0.14285714285714285,0.7
2,5,Stacy Keibler,30.0,10.0,3,active,3,rank,True,0.23809523809523808,0.7
2,5,Jerry Rice,23.0,7.666666666666667,3,active,2,rank,True,0.047619047619047616,0.7
2,5,Drew Lachey,27.0,9.0,3,active,1,rank,True,0.19047619047619047,0.7
2,6,George Hamilton,23.0,7.666666666666667,3,eliminated_this_week,5,rank,False,0.26666666666666666,0.7
2,6,Lisa Rinna,27.0,9.0,3,active,4,rank,False,0.13333333333333333,0.7
2,6,Stacy Keibler,30.0,10.0,3,active,3,rank,True,0.3333333333333333,0.7
2,6,Jerry Rice,23.0,7.666666666666667,3,active,2,rank,True,0.06666666666666667,0.7
2,6,Drew Lachey,30.0,10.0,3,active,1,rank,True,0.2,0.7
2,7,Lisa Rinna,26.5,8.833333333333334,3,eliminated_this_week,4,rank,False,0.2,0.7
2,7,Stacy Keibler,27.5,9.166666666666666,3,active,3,rank,True,0.4,0.7
2,7,Jerry Rice,20.5,6.833333333333333,3,active,2,rank,True,0.1,0.7
2,7,Drew Lachey,27.5,9.166666666666666,3,active,1,rank,True,0.3,0.7
2,8,Stacy Keibler,28.6665,9.5555,3,active,3,rank,True,0.33992071896021603,0.3
2,8,Jerry Rice,26.666600000000003,8.888866666666667,3,active,2,rank,True,0.31620636785880724,0.3
2,8,Drew Lachey,28.9998,9.6666,3,active,1,rank,True,0.34387291318097685,0.3
3,1,Harry Hamlin,17.0,5.666666666666667,3,active,9,percentage,False,0.09090909090909091,0.14150943396226412
3,1,Vivica A. Fox,22.0,7.333333333333333,3,active,8,percentage,False,0.09090909090909091,0.14150943396226412
3,1,Monique Coleman,19.0,6.333333333333333,3,active,4,percentage,False,0.09090909090909091,0.14150943396226412
