season,week,celebrity_name,judge_pct,fan_pct,new_score,old_score,is_eliminated
1,1,Evander Holyfield,0.1651376146788991,0.1637052553129327,0.16433549343395792,0.32884286999183177,False
1,1,Joey McIntyre,0.1834862385321101,0.1827573524851907,0.18307806234583524,0.3662435910173008,False
1,1,John O'Hurley,0.1834862385321101,0.1827573524851907,0.18307806234583524,0.3662435910173008,False
1,1,Kelly Monaco,0.11926605504587157,0.1243174319185622,0.12209482609457832,0.24358348696443377,False
1,1,Rachel Hunter,0.1834862385321101,0.1827573524851907,0.18307806234583524,0.3662435910173008,False
1,1,Trista Sutter,0.1651376146788991,0.1637052553129327,0.16433549343395792,0.32884286999183177,False
1,2,Evander Holyfield,0.11570247933884298,0.1203113597069705,0.11809909713026931,0.23601383904581347,False
1,2,Joey McIntyre,0.17355371900826447,0.1702368128885163,0.17182892782599543,0.34379053189678077,False
1,2,John O'Hurley,0.21487603305785125,0.2181372319279379,0.2165718564702963,0.4330132649857892,False
1,2,Kelly Monaco,0.14049586776859505,0.139608681564972,0.14003453094271107,0.28010454933356704,False
1,2,Rachel Hunter,0.1983471074380165,0.1975419200570438,0.1979284099999107,0.3958890274950603,False
1,2,Trista Sutter,0.15702479338842976,0.1541639938545593,0.15553717763081715,0.31118878724298904,True
1,3,Evander Holyfield,0.12264150943396226,0.1330890736304811,0.1276563402482913,0.25573058306444335,True
1,3,Joey McIntyre,0.20754716981132082,0.2034757702100179,0.20559289800269542,0.4110229400213387,False
1,3,John O'Hurley,0.22641509433962262,0.2236062192627559,0.2250668343027266,0.4500213136023785,False
1,3,Kelly Monaco,0.1981132075471698,0.1941007047766436,0.19618720621731722,0.3922139123238134,False
1,3,Rachel Hunter,0.24528301886792447,0.2457282321201013,0.24549672122896934,0.4910112509880258,False
1,4,Joey McIntyre,0.21739130434782608,0.2180870036316262,0.21769741203269813,0.4354783079794523,False
1,4,John O'Hurley,0.22826086956521738,0.2277781988188176,0.22804849443680147,0.45603906838403496,False
1,4,Kelly Monaco,0.2826086956521739,0.2830896544403393,0.2828203175189667,0.5656983500925132,False
1,4,Rachel Hunter,0.27173913043478254,0.2710451431092169,0.2714337760115337,0.5427842735439994,True
1,5,Joey McIntyre,0.3082191780821918,0.3081580487889314,0.30819472636488765,0.6163772268711232,False
1,5,John O'Hurley,0.36986301369863006,0.3707560516568129,0.3702202288819032,0.740619065355443,False
1,5,Kelly Monaco,0.3219178082191781,0.3210858995542556,0.3215850447532091,0.6430037077734336,False
1,6,John O'Hurley,0.4954128440366973,0.4954129727296112,0.49541289036614633,0.9908258167663084,False
