alpha,consistency
0.0,0.571969696969697
0.05,0.7613636363636364
0.1,0.7613636363636364
0.15000000000000002,0.7613636363636364
0.2,0.7613636363636364
0.25,0.7613636363636364
0.30000000000000004,0.7613636363636364
0.35000000000000003,0.7613636363636364
0.4,0.7613636363636364
0.45,0.7613636363636364
0.5,0.7462121212121212
0.55,0.4166666666666667
0.6000000000000001,0.375
0.65,0.36742424242424243
0.7000000000000001,0.3712121212121212
0.75,0.3787878787878788
0.8,0.38636363636363635
0.8500000000000001,0.38636363636363635
0.9,0.4015151515151515
0.9500000000000001,0.4128787878787879
1.0,0.4318181818181818
