season,week,rank_fan_influence,pct_fan_influence,n_contestants
1,1,-1.0,0.9996103609234266,6
1,2,-1.0,0.999019811930628,6
1,3,-0.9999999999999999,0.998827298765109,5
1,4,-1.0,0.9999429823998773,4
1,5,-1.0,0.9999672728192788,3
2,1,-1.0,0.9989967973922057,10
2,2,-1.0,0.9988566334245477,9
2,3,-1.0,0.9989585977906098,8
2,4,-1.0,0.9980768288268086,7
2,5,-1.0,0.9997338128897093,6
2,6,-1.0,0.9998947196618543,5
2,7,-1.0,0.9999580766296525,4
2,8,-1.0,0.9999967414643239,3
3,1,-1.0,0.9984980663058092,11
3,2,-0.946319048367343,0.9729705284181124,10
3,3,-0.9595158469815604,0.964585730747255,9
3,4,-0.9575099982900422,0.9404430633318838,8
3,5,-0.9999999999999999,0.999988443839328,7
3,6,-0.9999999999999999,0.9992670949857198,5
3,7,-1.0,0.9999403603300228,5
3,8,-1.0,0.9999909305803713,4
3,9,,,3
4,1,-1.0,0.9990016628436262,11
4,2,-0.9786125401187057,0.9705447892691677,11
4,3,-0.9716130913804712,0.8942870493979648,10
4,4,-0.9862523169897451,0.9975900408348716,9
4,5,-1.0,0.998413321762896,8
4,6,-0.9613162434186925,0.9468262590324112,7
4,7,-0.9814745506948463,0.9626439328514987,6
4,8,-0.9999999999999999,0.9995862352936987,5
4,9,-1.0,0.9999976413612126,4
4,10,-1.0,0.9999977090787223,3
5,1,-0.9999999999999999,0.999327383960799,12
5,2,-0.9703019763157604,0.9235973322529523,11
5,3,-1.0,0.9996867660368003,10
5,4,-0.9955257046261682,0.9938922762965092,9
5,5,-1.0,0.9997101308610212,8
5,6,-0.9519833036228567,0.952275632900948,7
5,7,-1.0,0.9999799722725693,6
5,8,-0.8944271909999159,0.9815467227871005,5
5,9,-0.9428090415820635,0.9058537797074212,4
5,10,-1.0,0.9999959292065068,3
6,1,-1.0,0.9989633085619956,12
6,2,-1.0,0.9992192810134094,12
6,3,-0.9636736076716144,0.9842225294950601,10
6,4,-1.0,0.9994661901106043,9
6,5,-1.0,0.9997850831294848,8
6,6,-1.0,0.9995906158558038,7
6,7,-0.9747074051360464,0.870427057893406,6
6,8,-0.8944271909999159,0.9226596444439026,5
6,9,-1.0,0.9999804370759926,4
6,10,-1.0,0.999954559102567,3
7,1,-1.0,0.9983900278094511,13
7,2,-0.9885294575774258,0.9887000604937431,11
7,3,-1.0,0.998783122033276,9
7,4,-1.0,0.9995305544011135,9
7,5,-0.9728650906898886,0.9955949749568485,8
7,6,-1.0,0.999032694706697,7
7,7,-0.9373529006989002,0.9566610831003358,6
7,8,-1.0,0.9999775825695174,5
7,9,-1.0,0.999911172308226,4
7,10,-1.0,1.0,3
8,1,-1.0,0.9990312891273965,13
8,2,-0.9787754840748328,0.9775763289845595,13
8,3,-0.9907890749786018,0.969052810605044,12
8,4,-0.9971426934407011,0.9975459225060681,11
8,5,-0.9606879778463628,0.9595298603676121,9
8,6,-0.9999999999999998,0.9993948605878132,8
8,7,-1.0,0.9997178880709222,7
8,8,-0.9820078512815046,0.8976068092736837,6
8,9,-0.9733285267845754,0.8882779098579906,5
8,10,-1.0,0.9998399953564385,4
8,11,-1.0,0.9999950013233672,3
9,1,-0.9999999999999998,0.9993528181275744,16
9,2,-1.0,0.9996803092420048,14
9,3,-0.9892379128819305,0.9876080706472827,13
9,4,-0.9914466458041737,0.9982035736528232,11
9,5,-0.9898566225816843,0.9955227298452772,10
9,6,-0.9831920802501751,0.9948195775654038,9
9,7,-1.0,0.9998358763768662,7
9,8,-1.0,0.9999710186898957,5
9,9,-0.7745966692414834,0.8625128172740295,4
9,10,-1.0,0.9999864953397616,3
10,1,-1.0,0.9990132848155328,11
10,2,-0.9576256398913415,0.9160417432844653,11
10,3,-1.0,0.9984643353204841,10
10,4,-0.9958246164193105,0.9989527146361955,9
10,5,-0.9999999999999998,0.9988571492250958,8
10,6,-1.0,0.9996835614777113,7
10,7,-0.9739544696438966,0.9463987957709331,6
10,8,-1.0,0.9997408631651248,5
10,9,-1.0,0.9999676970082753,4
10,10,-1.0,0.9999996339703074,3
11,1,-1.0,0.9995082008226864,12
11,2,-1.0,0.9986471599425464,11
11,3,-1.0,0.9997128061787316,10
11,4,-1.0,0.9986615625187343,9
11,5,-0.9756060828611427,0.9620518634959895,8
11,6,-0.744023809142845,0.7685117003396604,7
11,7,-0.9393364366277244,0.9211671428659999,6
11,8,-0.9733285267845754,0.9974499610485221,5
11,9,-0.9486832980505139,0.8387769206879933,4
11,10,-1.0,0.9999461853509255,3
12,1,-1.0,0.998846342985279,11
12,2,-1.0,0.9998162899968986,11
12,3,-1.0,0.9990011335731742,10
12,4,-0.9956426807977282,0.9510509095891501,9
12,5,-1.0,0.9999602914147321,8
12,6,-1.0,0.9998364871277506,7
12,7,-0.9488067200634019,0.9935909681402647,6
12,8,-0.9746794344808963,0.8106836328204723,5
12,9,-1.0,0.9995440937025827,4
12,10,-1.0,1.0,3
13,1,-1.0,0.9995414436230317,12
13,2,-0.941896624991143,0.9085279788027161,11
13,3,-0.9501081655165037,0.8548780547767056,10
13,4,-0.9693819866956511,0.9962533813660743,9
13,5,-1.0,0.9994585311147146,8
13,6,-1.0,0.9995905358705869,7
13,7,-0.9856107606091624,0.9555505576338997,6
13,8,-1.0,0.9995695391585998,5
13,9,-1.0,0.9998317483899607,4
13,10,-1.0,0.9999996353553542,3
14,1,-1.0,0.9997703557130474,12
14,2,-1.0,0.9995648905180733,12
14,3,-1.0,0.9999182887177127,11
14,4,-0.9946282751287777,0.9950188341276391,10
14,5,-1.0,0.9996120093770825,9
14,6,-1.0,0.9994310947320578,8
14,7,-0.9887867030729117,0.9278340586679608,7
14,8,-1.0,0.9999652682767699,6
14,9,-0.3162277660168379,0.3010563007771246,4
14,10,-1.0,0.9999999999999998,3
15,1,-1.0,0.9995189390606876,13
15,2,-0.9773793775126994,0.9043760693381736,12
15,3,-0.9878861364184035,0.9693724300966309,11
15,4,-0.9947802460058963,0.9871879724236188,9
15,5,-1.0,0.9999619816048535,8
15,6,-0.7196715715299218,0.6948026307227484,8
15,7,-1.0,0.9996116091622174,7
15,8,-0.8989219401201474,0.9559407801006458,7
15,9,-0.9746794344808963,0.8769967008558769,5
15,10,-1.0,0.9999995614777333,3
