alpha,consistency
0.1,0.7613636363636364
0.15000000000000002,0.7613636363636364
0.20000000000000004,0.7613636363636364
0.25000000000000006,0.7613636363636364
0.30000000000000004,0.7613636363636364
0.3500000000000001,0.7613636363636364
0.40000000000000013,0.7613636363636364
0.45000000000000007,0.7613636363636364
0.5000000000000001,0.7462121212121212
0.5500000000000002,0.4166666666666667
0.6000000000000002,0.375
0.6500000000000001,0.36742424242424243
0.7000000000000002,0.3712121212121212
0.7500000000000002,0.3787878787878788
0.8000000000000002,0.38636363636363635
0.8500000000000002,0.38636363636363635
0.9000000000000002,0.4015151515151515
