celebrity_name,total_score,judge_rank,popularity_factor,estimated_vote_share,estimated_votes,is_eliminated,season,week
Evander Holyfield,18.0,4.0,0.0,0.16370525531293273,163705.25531293274,False,1,1
Joey McIntyre,20.0,1.0,0.0,0.18275735248519073,182757.35248519073,False,1,1
John O'Hurley,20.0,1.0,0.0,0.18275735248519073,182757.35248519073,False,1,1
Kelly Monaco,13.0,6.0,0.0,0.12431743191856226,124317.43191856226,False,1,1
Rachel Hunter,20.0,1.0,0.0,0.18275735248519073,182757.35248519073,False,1,1
Trista Sutter,18.0,4.0,0.0,0.16370525531293273,163705.25531293274,False,1,1
Evander Holyfield,14.0,6.0,0.0,0.12031135970697053,120311.35970697053,False,1,2
Joey McIntyre,21.0,3.0,0.0,0.17023681288851633,170236.81288851632,False,1,2
John O'Hurley,26.0,1.0,0.0,0.21813723192793796,218137.23192793797,False,1,2
Kelly Monaco,17.0,5.0,0.0,0.13960868156497208,139608.6815649721,False,1,2
Rachel Hunter,24.0,2.0,0.0,0.1975419200570438,197541.92005704378,False,1,2
Trista Sutter,19.0,4.0,0.0,0.15416399385455934,154163.99385455935,True,1,2
Evander Holyfield,13.0,5.0,0.0,0.13308907363048111,133089.0736304811,True,1,3
Joey McIntyre,22.0,3.0,0.0,0.2034757702100179,203475.7702100179,False,1,3
John O'Hurley,24.0,2.0,0.0,0.2236062192627559,223606.21926275588,False,1,3
Kelly Monaco,21.0,4.0,0.0,0.19410070477664362,194100.70477664363,False,1,3
Rachel Hunter,26.0,1.0,0.0,0.2457282321201013,245728.2321201013,False,1,3
Joey McIntyre,20.0,4.0,0.0,0.2180870036316262,218087.0036316262,False,1,4
John O'Hurley,21.0,3.0,0.0,0.2277781988188176,227778.19881881762,False,1,4
Kelly Monaco,26.0,1.0,0.0,0.2830896544403393,283089.6544403393,False,1,4
Rachel Hunter,25.0,2.0,0.0,0.2710451431092169,271045.1431092169,True,1,4
Joey McIntyre,22.5,3.0,0.0,0.30815804878893144,308158.04878893145,False,1,5
John O'Hurley,27.0,1.0,0.0,0.3707560516568129,370756.0516568129,False,1,5
Kelly Monaco,23.5,2.0,0.0,0.32108589955425565,321085.89955425565,False,1,5
John O'Hurley,27.0,2.0,0.0,0.4954129727296112,495412.9727296112,False,1,6
Kelly Monaco,27.5,1.0,0.0,0.5045870272703887,504587.02727038873,False,1,6
Drew Lachey,24.0,1.0,0.0,0.12356727126735509,123567.27126735509,False,2,1
George Hamilton,18.0,8.0,0.0,0.09083942675215774,90839.42675215774,False,2,1
Giselle Fernandez,23.0,2.0,0.0,0.11739022752728052,117390.22752728053,False,2,1
Jerry Rice,21.0,5.0,0.0,0.10594706266459164,105947.06266459163,False,2,1
Kenny Mayne,13.0,9.0,0.0,0.0702937682844424,70293.76828444241,True,2,1
Lisa Rinna,19.0,7.0,0.0,0.09561937414804277,95619.37414804277,False,2,1
Master P,12.0,10.0,0.0,0.06677983067868112,66779.83067868113,False,2,1
Stacy Keibler,22.0,4.0,0.0,0.11152196999714208,111521.96999714208,False,2,1
Tatum O'Neal,23.0,2.0,0.0,0.11739022752728052,117390.22752728053,False,2,1
Tia Carrere,20.0,6.0,0.0,0.10065084115302624,100650.84115302624,False,2,1
Drew Lachey,27.0,2.0,0.0,0.1355531374598457,135553.13745984572,False,2,2
George Hamilton,22.0,5.0,0.0,0.10824137876540604,108241.37876540604,False,2,2
Giselle Fernandez,24.0,3.0,0.0,0.11843493307790254,118434.93307790253,False,2,2
Jerry Rice,23.0,4.0,0.0,0.11322349778354655,113223.49778354655,False,2,2
Lisa Rinna,20.0,7.0,0.0,0.0989251715904595,98925.1715904595,False,2,2
Master P,16.0,9.0,0.0,0.08262924898825946,82629.24898825947,False,2,2
Stacy Keibler,29.0,1.0,0.0,0.14831875708412057,148318.75708412056,False,2,2
Tatum O'Neal,17.0,8.0,0.0,0.08643249648505358,86432.49648505358,True,2,2
Tia Carrere,22.0,5.0,0.0,0.10824137876540604,108241.37876540604,False,2,2
Drew Lachey,27.0,1.0,0.0,0.1482255901120096,148225.59011200958,False,2,3
George Hamilton,22.0,5.0,0.0,0.11897996897434487,118979.96897434487,False,2,3
Giselle Fernandez,22.0,5.0,0.0,0.11897996897434487,118979.96897434487,True,2,3
Jerry Rice,19.0,7.0,0.0,0.10428077480981429,104280.77480981429,False,2,3
Lisa Rinna,25.0,4.0,0.0,0.13575112999451713,135751.12999451713,False,2,3
Master P,14.0,8.0,0.0,0.08370567688154595,83705.67688154595,False,2,3
Stacy Keibler,27.0,1.0,0.0,0.1482255901120096,148225.59011200958,False,2,3
Tia Carrere,26.0,3.0,0.0,0.14185130014141367,141851.30014141367,False,2,3
Drew Lachey,28.0,1.0,0.0,0.17577238109027019,175772.38109027018,False,2,4
George Hamilton,21.0,6.0,0.0,0.12890339998012318,128903.39998012318,False,2,4
Jerry Rice,24.0,5.0,0.0,0.14722686241597488,147226.86241597487,False,2,4
Lisa Rinna,26.0,2.0,0.0,0.1608676977124541,160867.6977124541,False,2,4
Master P,8.0,7.0,0.0,0.07246574151759137,72465.74151759138,True,2,4
Stacy Keibler,26.0,2.0,0.0,0.1608676977124541,160867.6977124541,False,2,4
Tia Carrere,25.0,4.0,0.0,0.15389621957113214,153896.21957113215,False,2,4
Drew Lachey,27.0,2.0,0.0,0.17823102747066502,178231.02747066502,False,2,5
George Hamilton,24.0,4.0,0.0,0.15820241455074754,158202.41455074755,False,2,5
Jerry Rice,23.0,5.0,0.0,0.15203947917346394,152039.47917346394,False,2,5
Lisa Rinna,25.0,3.0,0.0,0.16461516512518296,164615.16512518295,False,2,5
Stacy Keibler,30.0,1.0,0.0,0.2007952864907702,200795.2864907702,False,2,5
Tia Carrere,22.0,6.0,0.0,0.1461166271891704,146116.6271891704,True,2,5
Drew Lachey,30.0,1.0,0.0,0.22570375369861534,225703.75369861533,False,2,6
George Hamilton,23.0,4.0,0.0,0.17348053802201252,173480.5380220125,True,2,6
Jerry Rice,23.0,4.0,0.0,0.17348053802201252,173480.5380220125,False,2,6
Lisa Rinna,27.0,3.0,0.0,0.20163141655874423,201631.4165587442,False,2,6
Stacy Keibler,30.0,1.0,0.0,0.22570375369861534,225703.75369861533,False,2,6
Drew Lachey,27.5,1.0,0.0,0.26870973132570924,268709.73132570926,False,2,7
Jerry Rice,20.5,4.0,0.0,0.20420449686747727,204204.49686747728,False,2,7
Lisa Rinna,26.5,3.0,0.0,0.2583760404811043,258376.04048110428,True,2,7
Stacy Keibler,27.5,1.0,0.0,0.26870973132570924,268709.73132570926,False,2,7
Drew Lachey,28.9998,1.0,0.0,0.3438121652054386,343812.1652054386,False,2,8
Jerry Rice,26.666600000000003,3.0,0.0,0.31642803586544205,316428.03586544207,False,2,8
Stacy Keibler,28.6665,2.0,0.0,0.33975979892911934,339759.79892911937,False,2,8
Emmitt Smith,24.0,2.0,0.0,0.11375060332044379,113750.60332044378,False,3,1
Harry Hamlin,17.0,8.0,0.0,0.07910695634321971,79106.9563432197,False,3,1
Jerry Springer,16.0,9.0,0.0,0.07510701942487732,75107.01942487732,False,3,1
Joey Lawrence,21.0,5.0,0.0,0.09735343189684546,97353.43189684546,False,3,1
Mario Lopez,26.0,1.0,0.0,0.1261891468289911,126189.1468289911,False,3,1
Monique Coleman,19.0,6.0,0.0,0.08775724293143197,87757.24293143197,False,3,1
Sara Evans,15.0,10.0,0.0,0.07130933394042026,71309.33394042026,False,3,1
Shanna Moakler,18.0,7.0,0.0,0.08331991589877005,83319.91589877005,False,3,1
Tucker Carlson,12.0,11.0,0.0,0.06103007968952398,61030.079689523984,True,3,1
Vivica A. Fox,22.0,3.0,0.0,0.10253813486273816,102538.13486273817,False,3,1
Willa Ford,22.0,3.0,0.0,0.10253813486273816,102538.13486273817,False,3,1
Emmitt Smith,24.0,3.0,-0.005104506242472767,0.10385031866142617,103850.31866142618,False,3,2
Harry Hamlin,21.0,7.0,-0.004166224868199466,0.0912075304136766,91207.5304136766,False,3,2
Jerry Springer,19.0,10.0,0.1511480418124587,0.09511986029750005,95119.86029750005,False,3,2
Joey Lawrence,29.0,1.0,-0.0069919006517790774,0.12881113808386613,128811.13808386613,False,3,2
Mario Lopez,21.0,7.0,-0.004166224866807073,0.09120753041379338,91207.53041379339,False,3,2
Monique Coleman,26.0,2.0,-0.005806164065983482,0.11321278709997183,113212.78709997183,False,3,2
Sara Evans,21.0,7.0,-0.004166224942881721,0.09120753040741388,91207.53040741387,False,3,2
Shanna Moakler,22.0,6.0,-0.158948101298661,0.08207638203708606,82076.38203708606,True,3,2
Vivica A. Fox,24.0,3.0,-0.005104505605834689,0.10385031873089794,103850.31873089794,False,3,2
Willa Ford,23.0,5.0,-0.0047773930382830135,0.09945660385436797,99456.60385436798,False,3,2
Emmitt Smith,19.0,9.0,0.15049994211355175,0.10580888984527155,105808.88984527155,False,3,3
Harry Hamlin,22.0,4.0,-0.15920666158605964,0.0913161362226652,91316.1362226652,True,3,3
Jerry Springer,21.0,8.0,-0.004627062438050733,0.10146546041271151,101465.46041271152,False,3,3
Joey Lawrence,22.0,4.0,-0.004958758155739664,0.10595459905700062,105954.59905700063,False,3,3
Mario Lopez,22.0,4.0,-0.004958758010271839,0.10595459907185757,105954.59907185758,False,3,3
Monique Coleman,27.0,1.0,-0.0068662887135212645,0.13146508221569272,131465.08221569273,False,3,3
Sara Evans,25.0,3.0,-0.006049512718447248,0.12061555189337218,120615.55189337218,False,3,3
Vivica A. Fox,27.0,1.0,-0.006866288713521254,0.13146508221569272,131465.08221569273,False,3,3
Willa Ford,22.0,4.0,-0.004958758070211213,0.10595459906573584,105954.59906573585,False,3,3
Emmitt Smith,24.0,4.0,-0.008853605497726175,0.1209374598173583,120937.4598173583,False,3,4
Jerry Springer,22.0,7.0,-0.007785809569140066,0.11161522525681143,111615.22525681143,False,3,4
Joey Lawrence,27.0,3.0,-0.010628986199884673,0.1363298983661353,136329.89836613528,False,3,4
Mario Lopez,29.0,1.0,-0.011942447102068085,0.14760658113183403,147606.58113183404,False,3,4
Monique Coleman,24.0,4.0,-0.008853605528439572,0.12093745981370764,120937.45981370764,False,3,4
Sara Evans,20.0,8.0,0.1845108513903575,0.12045654966738396,120456.54966738397,False,3,4
Vivica A. Fox,24.0,4.0,-0.19968987863558024,0.10025452952375358,100254.52952375358,True,3,4
Willa Ford,28.0,2.0,-0.011271881354368584,0.14186229642301576,141862.29642301577,False,3,4
Emmitt Smith,27.0,1.0,0.0,0.14910954624794415,149109.54624794415,False,3,5
Jerry Springer,24.0,6.0,0.0,0.13277542219502594,132775.42219502595,False,3,5
Joey Lawrence,25.0,5.0,0.0,0.13801097061817144,138010.97061817144,False,3,5
Mario Lopez,27.0,1.0,0.0,0.14910954624794415,149109.54624794415,False,3,5
Monique Coleman,27.0,1.0,0.0,0.14910954624794415,149109.54624794415,False,3,5
Sara Evans,24.0,6.0,0.0,0.13277542219502594,132775.42219502595,True,3,5
Willa Ford,27.0,1.0,0.0,0.14910954624794415,149109.54624794415,True,3,5
Emmitt Smith,25.0,2.0,0.0,0.21025437485955087,210254.37485955088,False,3,6
Jerry Springer,18.0,5.0,0.0,0.15628916872448542,156289.1687244854,False,3,6
Joey Lawrence,24.0,3.0,0.0,0.20153140497017846,201531.40497017847,False,3,6
Mario Lopez,28.0,1.0,0.0,0.2387547204294406,238754.7204294406,False,3,6
Monique Coleman,23.0,4.0,0.0,0.19317033101634473,193170.33101634475,False,3,6
Emmitt Smith,28.5,1.0,0.0,0.2108230041156479,210823.0041156479,False,3,7
Jerry Springer,23.0,5.0,0.0,0.17196917311807666,171969.17311807667,True,3,7
Joey Lawrence,28.5,1.0,0.0,0.2108230041156479,210823.0041156479,False,3,7
Mario Lopez,28.0,3.0,0.0,0.20695480164406055,206954.80164406056,False,3,7
Monique Coleman,27.0,4.0,0.0,0.1994300170065671,199430.0170065671,False,3,7
Emmitt Smith,27.0,2.0,0.0,0.24762234459530535,247622.34459530536,False,3,8
Joey Lawrence,27.0,2.0,0.0,0.24762234459530535,247622.34459530536,False,3,8
Mario Lopez,28.5,1.0,0.0,0.26163506549935805,261635.06549935805,False,3,8
Monique Coleman,26.5,4.0,0.0,0.24312024531003132,243120.2453100313,True,3,8
Emmitt Smith,29.5,1.0,0.0,0.3333333333333333,333333.3333333333,False,3,9
Joey Lawrence,29.5,1.0,0.0,0.3333333333333333,333333.3333333333,False,3,9
Mario Lopez,29.5,1.0,0.0,0.3333333333333333,333333.3333333333,False,3,9
Emmitt Smith,29.666600000000003,1.0,0.0,0.5,500000.0,False,3,10
Mario Lopez,29.666600000000003,1.0,0.0,0.5,500000.0,False,3,10
Apolo Anton Ohno,21.0,3.0,0.0,0.10113871363426001,101138.71363426001,False,4,1
Billy Ray Cyrus,13.0,11.0,0.0,0.06597715270024375,65977.15270024375,False,4,1
Clyde Drexler,16.0,9.0,0.0,0.07743994135284184,77439.94135284184,False,4,1
Heather Mills,18.0,7.0,0.0,0.08616799337373104,86167.99337373105,False,4,1
Ian Ziering,21.0,3.0,0.0,0.10113871363426001,101138.71363426001,False,4,1
Joey Fatone,24.0,1.0,0.0,0.11871042825875124,118710.42825875124,False,4,1
John Ratzenberger,17.0,8.0,0.0,0.08168747978334132,81687.47978334132,False,4,1
Laila Ali,23.0,2.0,0.0,0.11253779192001913,112537.79192001912,False,4,1
Leeza Gibbons,15.0,10.0,0.0,0.07341326397432268,73413.26397432269,False,4,1
Paulina Porizkova,19.0,5.0,0.0,0.09089426068411448,90894.26068411447,False,4,1
Shandi Finnessey,19.0,5.0,0.0,0.09089426068411448,90894.26068411447,False,4,1
Apolo Anton Ohno,26.0,2.0,-0.006261558576038769,0.10681702102637156,106817.02102637156,False,4,2
Billy Ray Cyrus,21.0,6.0,-0.0044624609873513245,0.08546981976171455,85469.81976171455,False,4,2
Clyde Drexler,18.0,11.0,0.16049464660331228,0.0854026619046797,85402.6619046797,False,4,2
Heather Mills,24.0,3.0,-0.005489397890381173,0.09771844321404195,97718.44321404195,False,4,2
Ian Ziering,22.0,5.0,-0.004788630417220289,0.08937604301172941,89376.04301172942,False,4,2
Joey Fatone,24.0,3.0,-0.00548939789038118,0.09771844321404195,97718.44321404195,False,4,2
John Ratzenberger,21.0,6.0,-0.004462462857629447,0.08546981960993046,85469.81960993046,False,4,2
Laila Ali,27.0,1.0,-0.006677190963061214,0.11166935575410963,111669.35575410964,False,4,2
Leeza Gibbons,21.0,6.0,-0.004462460987351337,0.08546981976171455,85469.81976171455,False,4,2
Paulina Porizkova,21.0,6.0,-0.16827567990295914,0.07315776394618011,73157.7639461801,True,4,2
