alpha,judge_weight,fan_weight,balance_score,recommended
0.0,0.0,1.0,0.0,No
0.05,0.05,0.95,0.09999999999999998,No
0.1,0.1,0.9,0.19999999999999996,No
0.15000000000000002,0.15000000000000002,0.85,0.30000000000000004,No
0.2,0.2,0.8,0.4,No
0.25,0.25,0.75,0.5,No
0.30000000000000004,0.30000000000000004,0.7,0.6000000000000001,No
0.35000000000000003,0.35000000000000003,0.6499999999999999,0.7000000000000001,No
0.4,0.4,0.6,0.8,Yes
0.45,0.45,0.55,0.9,Yes
0.5,0.5,0.5,1.0,Yes
0.55,0.55,0.44999999999999996,0.8999999999999999,Yes
0.6000000000000001,0.6000000000000001,0.3999999999999999,0.7999999999999998,No
0.65,0.65,0.35,0.7,No
0.7000000000000001,0.7000000000000001,0.29999999999999993,0.5999999999999999,No
0.75,0.75,0.25,0.5,No
0.8,0.8,0.19999999999999996,0.3999999999999999,No
0.8500000000000001,0.8500000000000001,0.1499999999999999,0.2999999999999998,No
0.9,0.9,0.09999999999999998,0.19999999999999996,No
0.9500000000000001,0.9500000000000001,0.04999999999999993,0.09999999999999987,No
1.0,1.0,0.0,0.0,No
